id,affectedbywaitstop,arrivaldeparturetime,directionid,predictedtime,predictionaccuracymsecs,predictionreadtime,predictionsource,routeid,routeshortname,stopid,tripid,vehicleid,horizon,error,date,Color indicator,horizon seconds
321642,FALSE,12/07/17 12:56,1,12/07/17 12:56,15834,12/07/17 12:49,Transitime,2,2,503,278258,1016,00:07:05,0,12/07/17,200,425
420085,FALSE,13/07/17 13:58,1,13/07/17 14:00,-113511,13/07/17 13:38,Transitime,2,2,513,278256,1518,00:19:32,-2,13/07/17,300,1172
321648,FALSE,12/07/17 12:57,1,12/07/17 12:55,145637,12/07/17 12:41,Transitime,2,2,504,278258,1016,00:15:58,2,12/07/17,200,958
321649,FALSE,,0,12/07/17 12:41,0,12/07/17 12:20,Transitime,2,2,4488,278213,2911,11:39:16,0,30/12/99,Err:502,-3709023644
321938,FALSE,12/07/17 12:57,1,12/07/17 12:57,-11975,12/07/17 12:49,Transitime,2,2,505,278258,1016,00:07:57,0,12/07/17,200,477
321939,FALSE,12/07/17 12:57,1,12/07/17 12:59,-97398,12/07/17 12:53,Transitime,2,2,505,278258,1016,00:03:44,-2,12/07/17,200,224
322778,FALSE,12/07/17 12:58,1,12/07/17 12:57,41357,12/07/17 12:45,Transitime,2,2,507,278258,1016,00:12:33,1,12/07/17,200,753
323645,TRUE,12/07/17 13:02,1,12/07/17 12:56,338551,12/07/17 12:29,Transitime,2,2,6902,278257,2911,00:33:05,6,12/07/17,200,1985
323957,TRUE,12/07/17 13:04,0,12/07/17 13:04,12433,12/07/17 12:45,Transitime,2,2,413,278211,1017,00:19:14,0,12/07/17,200,1154
324140,TRUE,12/07/17 13:05,0,12/07/17 13:05,12885,12/07/17 12:41,Transitime,2,2,414,278211,1017,00:23:50,0,12/07/17,200,1430
324490,FALSE,12/07/17 13:03,1,12/07/17 13:02,54090,12/07/17 12:58,Transitime,2,2,514,278258,1016,00:04:58,1,12/07/17,200,298
324491,FALSE,12/07/17 13:04,1,12/07/17 13:03,54832,12/07/17 12:37,Transitime,2,2,4499,278258,1016,00:27:43,1,12/07/17,200,1663
324689,FALSE,,1,12/07/17 12:49,0,12/07/17 12:45,Transitime,2,2,473,278257,2911,11:14:23,0,30/12/99,Err:502,-3709025137
325036,TRUE,12/07/17 13:06,1,12/07/17 12:57,500688,12/07/17 12:33,Transitime,2,2,887,278257,2911,00:33:08,8,12/07/17,200,1988
325222,FALSE,12/07/17 13:05,1,12/07/17 13:06,-39706,12/07/17 12:58,Transitime,2,2,522,278258,1016,00:07:38,-1,12/07/17,200,458
